date,category,additional,subject,frequency,frequency_share
20210127,general_information,N/A,number_words,13319.0,0
20210127,general_information,N/A,number_sentences,287.0,0
20210127,general_information,N/A,word_per_sentences,46.40766550522648,0
20210127,sentiment,N/A,negative,194.0,67.59581881533101
20210127,sentiment,N/A,net_sentiment,-11.0,-3.8327526132404177
20210127,sentiment,N/A,positive,183.0,63.76306620209059
20210127,intensifiers,count_words,intensifiers,39.0,13.588850174216027
20210127,intensifiers,count_words,intensifiers_neg,27.0,9.40766550522648
20210127,intensifiers,count_words,intensifiers_net,-3.0,-1.0452961672473868
20210127,intensifiers,count_words,intensifiers_pos,24.0,8.362369337979095
20210127,in_deep_asset_program,count_words,Size,0.0,0.0
20210127,in_deep_asset_program,count_words,Composition,0.0,0.0
20210127,in_deep_asset_program,count_words,Pace,3.0,1.0452961672473868
20210127,in_deep_asset_program,count_words,Keep same size,0.0,0.0
20210127,in_deep_asset_program,count_words,Increase size,2.0,0.6968641114982579
20210127,in_deep_asset_program,count_words,Reduce size,0.0,0.0
20210127,in_deep_asset_program,count_words,Taper amounts,0.0,0.0
20210127,in_deep_asset_program,count_words,Guidance,3.0,1.0452961672473868
20210127,in_deep_asset_program,count_words,Longer maturity,0.0,0.0
20210127,in_deep_inflation,count_words,Symmetric,0.0,0.0
20210127,in_deep_inflation,count_words,Expectations,7.0,2.4390243902439024
20210127,in_deep_inflation,count_words,Core,1.0,0.34843205574912894
20210127,in_deep_inflation,count_words,Term premium,0.0,0.0
20210127,in_deep_inflation,count_words,Wages,0.0,0.0
20210127,in_deep_inflation,count_words,Energy,2.0,0.6968641114982579
20210127,in_deep_inflation,count_words,Long-term expectations,0.0,0.0
20210127,in_deep_inflation,count_words,Average inflation targeting,3.0,1.0452961672473868
20210127,in_deep_labor,count_words,Slack ,0.0,0.0
20210127,in_deep_labor,count_words,Job gains,1.0,0.34843205574912894
20210127,in_deep_labor,count_words,Supply,0.0,0.0
20210127,in_deep_labor,count_words,Participation rate,1.0,0.34843205574912894
20210127,in_deep_labor,count_words,Unemployment,8.0,2.7874564459930316
20210127,in_deep_labor,count_words,Maximum employment,12.0,4.181184668989547
20210317,general_information,N/A,number_words,9516.0,0
20210317,general_information,N/A,number_sentences,290.0,0
20210317,general_information,N/A,word_per_sentences,32.813793103448276,0
20210317,sentiment,N/A,negative,138.0,47.58620689655172
20210317,sentiment,N/A,net_sentiment,7.0,2.413793103448276
20210317,sentiment,N/A,positive,145.0,50.0
20210317,intensifiers,count_words,intensifiers,41.0,14.13793103448276
20210317,intensifiers,count_words,intensifiers_pos,20.0,6.896551724137931
20210317,intensifiers,count_words,intensifiers_net,-6.0,-2.0689655172413794
20210317,intensifiers,count_words,intensifiers_neg,26.0,8.96551724137931
20210317,in_deep_asset_program,count_words,Size,0.0,0.0
20210317,in_deep_asset_program,count_words,Composition,0.0,0.0
20210317,in_deep_asset_program,count_words,Pace,2.0,0.6896551724137931
20210317,in_deep_asset_program,count_words,Keep same size,0.0,0.0
20210317,in_deep_asset_program,count_words,Increase size,2.0,0.6896551724137931
20210317,in_deep_asset_program,count_words,Reduce size,0.0,0.0
20210317,in_deep_asset_program,count_words,Taper amounts,0.0,0.0
20210317,in_deep_asset_program,count_words,Guidance,2.0,0.6896551724137931
20210317,in_deep_asset_program,count_words,Longer maturity,0.0,0.0
20210317,in_deep_inflation,count_words,Symmetric,0.0,0.0
20210317,in_deep_inflation,count_words,Expectations,11.0,3.793103448275862
20210317,in_deep_inflation,count_words,Core,2.0,0.6896551724137931
20210317,in_deep_inflation,count_words,Term premium,0.0,0.0
20210317,in_deep_inflation,count_words,Wages,0.0,0.0
20210317,in_deep_inflation,count_words,Energy,1.0,0.3448275862068966
20210317,in_deep_inflation,count_words,Long-term expectations,0.0,0.0
20210317,in_deep_inflation,count_words,Average inflation targeting,3.0,1.0344827586206897
20210317,in_deep_labor,count_words,Slack ,0.0,0.0
20210317,in_deep_labor,count_words,Job gains,0.0,0.0
20210317,in_deep_labor,count_words,Supply,0.0,0.0
20210317,in_deep_labor,count_words,Participation rate,1.0,0.3448275862068966
20210317,in_deep_labor,count_words,Unemployment,7.0,2.413793103448276
20210317,in_deep_labor,count_words,Maximum employment,14.0,4.827586206896552
20200129,general_information,N/A,number_words,13817.0,0
20200129,general_information,N/A,number_sentences,265.0,0
20200129,general_information,N/A,word_per_sentences,52.13962264150943,0
20200129,sentiment,N/A,negative,191.0,72.0754716981132
20200129,sentiment,N/A,net_sentiment,-28.0,-10.566037735849058
20200129,sentiment,N/A,positive,163.0,61.50943396226415
20200129,intensifiers,count_words,intensifiers,12.0,4.528301886792453
20200129,intensifiers,count_words,intensifiers_neg,10.0,3.7735849056603774
20200129,intensifiers,count_words,intensifiers_net,-2.0,-0.7547169811320755
20200129,intensifiers,count_words,intensifiers_pos,8.0,3.018867924528302
20200129,in_deep_asset_program,count_words,Size,0.0,0.0
20200129,in_deep_asset_program,count_words,Composition,0.0,0.0
20200129,in_deep_asset_program,count_words,Pace,0.0,0.0
20200129,in_deep_asset_program,count_words,Keep same size,1.0,0.37735849056603776
20200129,in_deep_asset_program,count_words,Increase size,0.0,0.0
20200129,in_deep_asset_program,count_words,Reduce size,0.0,0.0
20200129,in_deep_asset_program,count_words,Taper amounts,0.0,0.0
20200129,in_deep_asset_program,count_words,Guidance,0.0,0.0
20200129,in_deep_asset_program,count_words,Longer maturity,0.0,0.0
20200129,in_deep_inflation,count_words,Symmetric,7.0,2.6415094339622645
20200129,in_deep_inflation,count_words,Expectations,8.0,3.018867924528302
20200129,in_deep_inflation,count_words,Core,6.0,2.2641509433962264
20200129,in_deep_inflation,count_words,Term premium,0.0,0.0
20200129,in_deep_inflation,count_words,Wages,1.0,0.37735849056603776
20200129,in_deep_inflation,count_words,Energy,7.0,2.6415094339622645
20200129,in_deep_inflation,count_words,Long-term expectations,0.0,0.0
20200129,in_deep_inflation,count_words,Average inflation targeting,2.0,0.7547169811320755
20200129,in_deep_labor,count_words,Slack ,0.0,0.0
20200129,in_deep_labor,count_words,Job gains,2.0,0.7547169811320755
20200129,in_deep_labor,count_words,Supply,0.0,0.0
20200129,in_deep_labor,count_words,Participation rate,1.0,0.37735849056603776
20200129,in_deep_labor,count_words,Unemployment,12.0,4.528301886792453
20200129,in_deep_labor,count_words,Maximum employment,4.0,1.509433962264151
20200315,general_information,N/A,number_words,10760.0,0
20200315,general_information,N/A,number_sentences,330.0,0
20200315,general_information,N/A,word_per_sentences,32.60606060606061,0
20200315,sentiment,N/A,negative,305.0,92.42424242424242
20200315,sentiment,N/A,net_sentiment,-212.0,-64.24242424242425
20200315,sentiment,N/A,positive,93.0,28.18181818181818
20200315,intensifiers,count_words,intensifiers,54.0,16.363636363636363
20200315,intensifiers,count_words,intensifiers_neg,50.0,15.151515151515152
20200315,intensifiers,count_words,intensifiers_net,-37.0,-11.212121212121213
20200315,intensifiers,count_words,intensifiers_pos,13.0,3.939393939393939
20200315,in_deep_asset_program,count_words,Size,0.0,0.0
20200315,in_deep_asset_program,count_words,Composition,0.0,0.0
20200315,in_deep_asset_program,count_words,Pace,0.0,0.0
20200315,in_deep_asset_program,count_words,Keep same size,2.0,0.6060606060606061
20200315,in_deep_asset_program,count_words,Increase size,2.0,0.6060606060606061
20200315,in_deep_asset_program,count_words,Reduce size,0.0,0.0
20200315,in_deep_asset_program,count_words,Taper amounts,0.0,0.0
20200315,in_deep_asset_program,count_words,Guidance,0.0,0.0
20200315,in_deep_asset_program,count_words,Longer maturity,0.0,0.0
20200315,in_deep_inflation,count_words,Symmetric,3.0,0.9090909090909091
20200315,in_deep_inflation,count_words,Expectations,8.0,2.4242424242424243
20200315,in_deep_inflation,count_words,Core,1.0,0.30303030303030304
20200315,in_deep_inflation,count_words,Term premium,0.0,0.0
20200315,in_deep_inflation,count_words,Wages,0.0,0.0
20200315,in_deep_inflation,count_words,Energy,5.0,1.5151515151515151
20200315,in_deep_inflation,count_words,Long-term expectations,0.0,0.0
20200315,in_deep_inflation,count_words,Average inflation targeting,0.0,0.0
20200315,in_deep_labor,count_words,Slack ,0.0,0.0
20200315,in_deep_labor,count_words,Job gains,0.0,0.0
20200315,in_deep_labor,count_words,Supply,1.0,0.30303030303030304
20200315,in_deep_labor,count_words,Participation rate,1.0,0.30303030303030304
20200315,in_deep_labor,count_words,Unemployment,7.0,2.1212121212121215
20200315,in_deep_labor,count_words,Maximum employment,10.0,3.0303030303030303
20200429,general_information,N/A,number_words,10180.0,0
20200429,general_information,N/A,number_sentences,314.0,0
20200429,general_information,N/A,word_per_sentences,32.4203821656051,0
20200429,sentiment,N/A,negative,299.0,95.22292993630573
20200429,sentiment,N/A,net_sentiment,-200.0,-63.69426751592356
20200429,sentiment,N/A,positive,99.0,31.528662420382165
20200429,intensifiers,count_words,intensifiers,68.0,21.656050955414013
20200429,intensifiers,count_words,intensifiers_neg,58.0,18.471337579617835
20200429,intensifiers,count_words,intensifiers_net,-35.0,-11.146496815286625
20200429,intensifiers,count_words,intensifiers_pos,23.0,7.32484076433121
20200429,in_deep_asset_program,count_words,Size,0.0,0.0
20200429,in_deep_asset_program,count_words,Composition,0.0,0.0
20200429,in_deep_asset_program,count_words,Pace,1.0,0.3184713375796179
20200429,in_deep_asset_program,count_words,Keep same size,0.0,0.0
20200429,in_deep_asset_program,count_words,Increase size,0.0,0.0
20200429,in_deep_asset_program,count_words,Reduce size,0.0,0.0
20200429,in_deep_asset_program,count_words,Taper amounts,0.0,0.0
20200429,in_deep_asset_program,count_words,Guidance,0.0,0.0
20200429,in_deep_asset_program,count_words,Longer maturity,0.0,0.0
20200429,in_deep_inflation,count_words,Symmetric,2.0,0.6369426751592357
20200429,in_deep_inflation,count_words,Expectations,3.0,0.9554140127388535
20200429,in_deep_inflation,count_words,Core,2.0,0.6369426751592357
20200429,in_deep_inflation,count_words,Term premium,0.0,0.0
20200429,in_deep_inflation,count_words,Wages,0.0,0.0
20200429,in_deep_inflation,count_words,Energy,2.0,0.6369426751592357
20200429,in_deep_inflation,count_words,Long-term expectations,0.0,0.0
20200429,in_deep_inflation,count_words,Average inflation targeting,0.0,0.0
20200429,in_deep_labor,count_words,Slack ,0.0,0.0
20200429,in_deep_labor,count_words,Job gains,0.0,0.0
20200429,in_deep_labor,count_words,Supply,0.0,0.0
20200429,in_deep_labor,count_words,Participation rate,1.0,0.3184713375796179
20200429,in_deep_labor,count_words,Unemployment,9.0,2.8662420382165608
20200429,in_deep_labor,count_words,Maximum employment,9.0,2.8662420382165608
20200610,general_information,N/A,number_words,10876.0,0
20200610,general_information,N/A,number_sentences,264.0,0
20200610,general_information,N/A,word_per_sentences,41.196969696969695,0
